24,17,17,17,17,17,17,17,17,17,17,17,17,17,17,25
10,6,3,6,6,3,4,3,6,5,6,4,5,6,3,8
10,11,12,13,14,14,12,13,12,13,14,14,11,14,11,8
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
10,-1,-1,16,17,17,18,-1,-1,-1,-1,-1,-1,-1,-1,8
10,-1,-1,5,6,4,6,-1,-1,-1,-1,-1,-1,-1,-1,8
10,-1,-1,11,12,12,14,-1,-1,-1,-1,-1,-1,-1,-1,8
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
10,-1,-1,-1,-1,-1,-1,-1,-1,16,17,17,17,18,-1,8
10,-1,-1,-1,-1,-1,-1,-1,-1,3,6,3,4,6,-1,8
10,-1,-1,-1,-1,-1,-1,-1,-1,11,13,12,14,13,-1,8
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
